ET1,ET2,ET3
3.633749206,3.633749206,3.633749206
3.270219289,3.270219289,3.270219289
5.227871271,5.227871271,5.227871271
2.419171089,2.419171089,2.419171089
3.453327504,3.453327504,3.453327504
3.217696926,3.217696926,3.217696926
3.919215641,3.919215641,3.919215641
2.529156465,2.529156465,2.529156465
3.223245228,3.223245228,3.223245228
4.13034139,4.13034139,4.13034139
4.767815335,4.767815335,4.767815335
4.897510112,4.897510112,4.897510112
3.79492448,3.79492448,3.79492448
4.904919804,4.904919804,4.904919804
4.097980741,4.097980741,4.097980741
3.48094072,3.48094072,3.48094072
2.010662776,2.010662776,2.010662776
5.036313332,5.036313332,5.036313332
1.884032362,1.884032362,1.884032362
4.461882244,4.461882244,4.461882244
2.702085383,2.702085383,2.702085383
2.572113074,2.572113074,2.572113074
2.903575053,2.903575053,2.903575053
1.492535157,1.492535157,1.492535157
4.411915091,4.411915091,4.411915091
4.56767747,4.56767747,4.56767747
5.628106444,5.628106444,5.628106444
5.139010872,5.139010872,5.139010872
5.761336899,5.761336899,5.761336899
5.38624617,5.38624617,5.38624617
4.54675036,4.54675036,4.54675036
5.624816459,5.624816459,5.624816459
4.461119319,4.461119319,4.461119319
3.057036186,3.057036186,3.057036186
2.947789497,2.947789497,2.947789497
5.116556607,5.116556607,5.116556607
2.514315899,2.514315899,2.514315899
4.594369887,4.594369887,4.594369887
5.423264135,5.423264135,5.423264135
6.042970827,6.042970827,6.042970827
5.071161971,5.071161971,5.071161971
7.677454087,7.677454087,7.677454087
-0.02079821,-0.02079821,-0.02079821
3.50841428,3.50841428,3.50841428
4.456792172,4.456792172,4.456792172
4.741461623,4.741461623,4.741461623
5.056848416,5.056848416,5.056848416
2.836717446,2.836717446,2.836717446
4.67201194,4.67201194,4.67201194
2.63210027,2.63210027,2.63210027
4.586800984,4.586800984,4.586800984
4.908975425,4.908975425,4.908975425
5.304920006,5.304920006,5.304920006
5.263215019,5.263215019,5.263215019
5.190615664,5.190615664,5.190615664
4.950088672,4.950088672,4.950088672
5.024308433,5.024308433,5.024308433
4.966655158,4.966655158,4.966655158
4.739563353,4.739563353,4.739563353
3.944155069,3.944155069,3.944155069
5.145100087,5.145100087,5.145100087
5.352335485,5.352335485,5.352335485
5.231013567,5.231013567,5.231013567
5.454378592,5.454378592,5.454378592
5.080369834,5.080369834,5.080369834
4.716286518,4.716286518,4.716286518
5.150590142,5.150590142,5.150590142
5.330068655,5.330068655,5.330068655
5.109978134,5.109978134,5.109978134
5.190309017,5.190309017,5.190309017
5.320445009,5.320445009,5.320445009
5.300289483,5.300289483,5.300289483
4.933880032,4.933880032,4.933880032
4.71877062,4.71877062,4.71877062
5.756355747,5.756355747,5.756355747
5.686798658,5.686798658,5.686798658
5.202311443,5.202311443,5.202311443
4.879678155,4.879678155,4.879678155
4.542045144,4.542045144,4.542045144
5.07730317,5.07730317,5.07730317
5.200241908,5.200241908,5.200241908
5.511448995,5.511448995,5.511448995
5.176899571,5.176899571,5.176899571
5.371956475,5.371956475,5.371956475
5.247508946,5.247508946,5.247508946
4.894230911,4.894230911,4.894230911
4.80010229,4.80010229,4.80010229
3.79313961,3.79313961,3.79313961
4.941521341,4.941521341,4.941521341
4.372586166,4.372586166,4.372586166
3.989210662,3.989210662,3.989210662
3.658638957,3.658638957,3.658638957
5.309321336,5.309321336,5.309321336
4.654346513,4.654346513,4.654346513
5.312986543,5.312986543,5.312986543
4.772253029,4.772253029,4.772253029
4.769820534,4.769820534,4.769820534
4.908742628,4.908742628,4.908742628
5.019787663,5.019787663,5.019787663
5.824219851,5.824219851,5.824219851
4.999568219,4.999568219,4.999568219
4.659525316,4.659525316,4.659525316
4.788181029,4.788181029,4.788181029
5.04854142,5.04854142,5.04854142
5.292570675,5.292570675,5.292570675
6.102120675,6.102120675,6.102120675
